attempt_id,mode,started,log_file,unit,ecu_scan_status,scan_probe,scan_native_builder,scan_purpose,send_header,listen_header,channel_parameter_profile,channel_parameter_status,channel_parameters,session_command,session_command_label,session_counter,session_status,session_result,pre_read_sequence,post_session_extra_frames,read_profile,ack_variant,delay_ms,read_counter,read_command,read_command_label,read_status,read_result,stopped_early,raw_payloads,error
sequence_ctr0_1A9B,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,0,1A9B,ReadValuesOperation <ecu_info>: GetVagCanEcuInfoCommand::getRequest; path=VAGCAN20 ECU metadata/cache read; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr1_1A9F,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,1,1A9F,ReadValuesOperation <ecu_list>: GetVagCanEcuListCommand::getRequest; path=VAGCAN20 ECU list/info read; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr2_1A9A,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,2,1A9A,ReadValuesOperation <long_coding_cache>: ReadVagCanLongCodingCommand::getRequest; path=VAGCAN20 long-coding read/cache path; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr3_220600,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,3,220600,ReadValuesOperation <uds_coding_0600>: ReadDataByIdentifierCommand(0600) / readVagUdsCodingValue; path=UDS coding current-value read on TP2.0 unit 09; status=live_positive_primary_coding_read,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr4_22110E,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,4,22110E,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_leaving_home_output: Coming/leaving-home output selector adaptation/coding candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr5_22056D,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,5,22056D,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr6_220550,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,6,220550,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby raw channel candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr7_220551,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,7,220551,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby raw channel candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr8_220D01,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,8,220D01,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_turn_off_fogs_with_high_beam: Turn-off-fogs-with-high-beam UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
sequence_ctr9_220A58,direct_sequence,2026-05-04T14:36:52.546,logs\pq25_light_debug_in_car_20260504_direct_sequence_sequence_ctr0_bcm_light_debug.txt,20,,,,,338,300,carista_then_minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],bcm_light_debug,,,9,220A58,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_turn_off_fogs_with_high_beam: Turn-off-fogs-with-high-beam nearby UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:37:00.946"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
